"sample_metag","sample_metat","sample_metag_nreads","sample_internal","Layer","polar","Latitude","Longitude","Temperature","Oxygen","sample_id"
"TARA_SAMEA2622197_METAG","TARA_SAMEA2622197_METAT",385498148,"TARA_B100000953","MES","non polar",-5.261,-85.1678,9.137438,5.148,"Sample_41"
"TARA_SAMEA2622173_METAG","TARA_SAMEA2622173_METAT",327515114,"TARA_B100000900","SRF","non polar",-5.2529,-85.1545,24.958885,204.421,"Sample_42"
"TARA_SAMEA2622336_METAG","TARA_SAMEA2622336_METAT",330560590,"TARA_B100000927","DCM","non polar",2.0299,-84.5546,26.019185,199.8303,"Sample_43"
"TARA_SAMEA2622362_METAG","TARA_SAMEA2622362_METAT",371290805,"TARA_B100000929","MES","non polar",2.0649,-84.5546,11.142362,2.264562,"Sample_44"
"TARA_SAMEA2622316_METAG","TARA_SAMEA2622316_METAT",359731519,"TARA_B100000925","SRF","non polar",1.9928,-84.5766,27.497475,199.6911,"Sample_45"
"TARA_SAMEA2622402_METAG","TARA_SAMEA2622406_METAT",401942972,"TARA_B100001113","DCM","non polar",-1.9002,-84.6265,22.039785,145.0818,"Sample_46"
"TARA_SAMEA2622429_METAG","TARA_SAMEA2622432_METAT",368970668,"TARA_B100001079","MES","non polar",-1.8902,-84.6141,10.082375,2.43975,"Sample_47"
"TARA_SAMEA2622376_METAG","TARA_SAMEA2622380_METAT",312560114,"TARA_B100001109","SRF","non polar",-2.0133,-84.589,23.88816,191.91255,"Sample_48"
"TARA_SAMEA2622478_METAG","TARA_SAMEA2622478_METAT",360309334,"TARA_B100000579","DCM","non polar",-16.9587,-100.6751,19.783275,208.54895,"Sample_49"
"TARA_SAMEA2622452_METAG","TARA_SAMEA2622452_METAT",365483503,"TARA_B100000575","SRF","non polar",-16.9601,-100.6335,22.78183,209.1003,"Sample_50"
"TARA_SAMEA2622545_METAG","TARA_SAMEA2622549_METAT",393047046,"TARA_B100000945","DCM","non polar",-23.2189,-129.4997,21.94937,206.4346,"Sample_51"
"TARA_SAMEA2622518_METAG","TARA_SAMEA2622522_METAT",382340222,"TARA_B100000941","SRF","non polar",-23.2811,-129.3947,24.26287,201.6702,"Sample_52"
"TARA_SAMEA2622690_METAG","TARA_SAMEA2622690_METAT",297369153,"TARA_B100000700","DCM","non polar",-9.0063,-139.1394,24.661385,178.3692,"Sample_53"
"TARA_SAMEA2622673_METAG","TARA_SAMEA2622673_METAT",387725644,"TARA_B100000678","MES","non polar",-8.9729,-139.2393,7.133995,40.6107,"Sample_54"
"TARA_SAMEA2622652_METAG","TARA_SAMEA2622652_METAT",271371536,"TARA_B100001115","SRF","non polar",-8.9971,-139.1963,26.60467,187.07695,"Sample_55"
"TARA_SAMEA2622733_METAG","TARA_SAMEA2622733_METAT",359743657,"TARA_B100000686","MIX","non polar",-8.9109,-140.2845,21.97372,158.18405,"Sample_56"
"TARA_SAMEA2622710_METAG","TARA_SAMEA2622710_METAT",328783512,"TARA_B100000683","SRF","non polar",-8.9068,-140.283,26.586685,189.6701,"Sample_57"
"TARA_SAMEA2622796_METAG","TARA_SAMEA2622796_METAT",364485634,"TARA_B100000676","MIX","non polar",-9.0714,-140.5973,24.81397,172.42475,"Sample_58"
"TARA_SAMEA2622766_METAG","TARA_SAMEA2622759_METAT",583114301,"TARA_B100000674","SRF","non polar",-9.1504,-140.5216,26.572419,190.378187,"Sample_59"
"TARA_SAMEA2622837_METAG","TARA_SAMEA2622837_METAT",354450700,"TARA_B100001123","MIX","non polar",-8.8999,-142.5461,23.681605,160.81445,"Sample_60"
